method,layer_idx,proj,task,overlap
clora_random,2,v_proj,sst2,0.04505804553627968
clora_random,2,v_proj,mbpp,0.04248911142349243
clora_random,3,q_proj,gsm8k,0.031411923468112946
clora_random,3,q_proj,sst2,0.02199355885386467
clora_random,3,q_proj,mbpp,0.02084631659090519
clora_random,3,v_proj,gsm8k,0.037916868925094604
clora_random,3,v_proj,sst2,0.02362835966050625
clora_random,3,v_proj,mbpp,0.02303146943449974
clora_random,4,q_proj,gsm8k,0.1012331023812294
clora_random,4,q_proj,sst2,0.013175101950764656
clora_random,4,q_proj,mbpp,0.012541541829705238
clora_random,4,v_proj,gsm8k,0.04761292040348053
clora_random,4,v_proj,sst2,0.025410272181034088
clora_random,4,v_proj,mbpp,0.02515597641468048
clora_random,5,q_proj,gsm8k,0.02239406108856201
clora_random,5,q_proj,sst2,0.021515533328056335
clora_random,5,q_proj,mbpp,0.021836906671524048
clora_random,5,v_proj,gsm8k,0.03523183614015579
clora_random,5,v_proj,sst2,0.03161120414733887
clora_random,5,v_proj,mbpp,0.030397823080420494
clora_random,6,q_proj,gsm8k,0.02117816172540188
clora_random,6,q_proj,sst2,0.017979389056563377
clora_random,6,q_proj,mbpp,0.018324267119169235
clora_random,6,v_proj,gsm8k,0.03420572727918625
clora_random,6,v_proj,sst2,0.024015173316001892
clora_random,6,v_proj,mbpp,0.02301267720758915
clora_random,7,q_proj,gsm8k,0.02661273628473282
clora_random,7,q_proj,sst2,0.02176443114876747
clora_random,7,q_proj,mbpp,0.02121838368475437
clora_random,7,v_proj,gsm8k,0.03991730511188507
clora_random,7,v_proj,sst2,0.02804809994995594
clora_random,7,v_proj,mbpp,0.02761228196322918
clora_random,8,q_proj,gsm8k,0.029041800647974014
clora_random,8,q_proj,sst2,0.015668535605072975
clora_random,8,q_proj,mbpp,0.015260652638971806
clora_random,8,v_proj,gsm8k,0.03713293746113777
clora_random,8,v_proj,sst2,0.033418260514736176
clora_random,8,v_proj,mbpp,0.030518844723701477
clora_random,9,q_proj,gsm8k,0.020929982885718346
clora_random,9,q_proj,sst2,0.020461175590753555
clora_random,9,q_proj,mbpp,0.017635999247431755
clora_random,9,v_proj,gsm8k,0.04032457619905472
clora_random,9,v_proj,sst2,0.030841220170259476
clora_random,9,v_proj,mbpp,0.032361581921577454
clora_random,10,q_proj,gsm8k,0.03738899528980255
clora_random,10,q_proj,sst2,0.019240936264395714
clora_random,10,q_proj,mbpp,0.019955646246671677
clora_random,10,v_proj,gsm8k,0.03478933125734329
clora_random,10,v_proj,sst2,0.02832590974867344
clora_random,10,v_proj,mbpp,0.028041981160640717
clora_random,11,q_proj,gsm8k,0.024519391357898712
clora_random,11,q_proj,sst2,0.020878419280052185
clora_random,11,q_proj,mbpp,0.01857043243944645
clora_random,11,v_proj,gsm8k,0.04147137701511383
clora_random,11,v_proj,sst2,0.03480769321322441
clora_random,11,v_proj,mbpp,0.03323674201965332
clora_random,12,q_proj,gsm8k,0.027256391942501068
clora_random,12,q_proj,sst2,0.021836252883076668
clora_random,12,q_proj,mbpp,0.0198696106672287
clora_random,12,v_proj,gsm8k,0.03699919208884239
clora_random,12,v_proj,sst2,0.02429972030222416
clora_random,12,v_proj,mbpp,0.029399339109659195
clora_random,13,q_proj,gsm8k,0.031891725957393646
clora_random,13,q_proj,sst2,0.02304457500576973
clora_random,13,q_proj,mbpp,0.02102062851190567
clora_random,13,v_proj,gsm8k,0.025331420823931694
clora_random,13,v_proj,sst2,0.025515170767903328
clora_random,13,v_proj,mbpp,0.02309771068394184
clora_random,14,q_proj,gsm8k,0.02093408815562725
clora_random,14,q_proj,sst2,0.017108505591750145
clora_random,14,q_proj,mbpp,0.01614871434867382
clora_random,14,v_proj,gsm8k,0.034476421773433685
clora_random,14,v_proj,sst2,0.02858252264559269
clora_random,14,v_proj,mbpp,0.026402246206998825
clora_random,15,q_proj,gsm8k,0.022137532010674477
clora_random,15,q_proj,sst2,0.019956734031438828
clora_random,15,q_proj,mbpp,0.01889912411570549
clora_random,15,v_proj,gsm8k,0.029697265475988388
clora_random,15,v_proj,sst2,0.03462265431880951
clora_random,15,v_proj,mbpp,0.03393811732530594
clora_random,16,q_proj,gsm8k,0.026006773114204407
clora_random,16,q_proj,sst2,0.030670905485749245
clora_random,16,q_proj,mbpp,0.02959318272769451
clora_random,16,v_proj,gsm8k,0.03291261941194534
clora_random,16,v_proj,sst2,0.03274746984243393
clora_random,16,v_proj,mbpp,0.031121645122766495
clora_random,17,q_proj,gsm8k,0.022396083921194077
clora_random,17,q_proj,sst2,0.021655835211277008
clora_random,17,q_proj,mbpp,0.02266191877424717
clora_random,17,v_proj,gsm8k,0.02324933372437954
clora_random,17,v_proj,sst2,0.02087455429136753
clora_random,17,v_proj,mbpp,0.019670579582452774
clora_random,18,q_proj,gsm8k,0.028382137417793274
clora_random,18,q_proj,sst2,0.02074626088142395
clora_random,18,q_proj,mbpp,0.020737681537866592
clora_random,18,v_proj,gsm8k,0.054557379335165024
clora_random,18,v_proj,sst2,0.04193762689828873
clora_random,18,v_proj,mbpp,0.034052081406116486
clora_random,19,q_proj,gsm8k,0.022888511419296265
clora_random,19,q_proj,sst2,0.016939906403422356
clora_random,19,q_proj,mbpp,0.017180757597088814
clora_random,19,v_proj,gsm8k,0.028400857001543045
clora_random,19,v_proj,sst2,0.028242912143468857
clora_random,19,v_proj,mbpp,0.028275631368160248
clora_random,20,q_proj,gsm8k,0.03405657038092613
clora_random,20,q_proj,sst2,0.019184164702892303
clora_random,20,q_proj,mbpp,0.02068179100751877
clora_random,20,v_proj,gsm8k,0.045202698558568954
clora_random,20,v_proj,sst2,0.0414254404604435
clora_random,20,v_proj,mbpp,0.034962184727191925
clora_random,21,q_proj,gsm8k,0.016354961320757866
clora_random,21,q_proj,sst2,0.01606909930706024
clora_random,21,q_proj,mbpp,0.016323810443282127
clora_random,21,v_proj,gsm8k,0.04590598866343498
clora_random,21,v_proj,sst2,0.041347306221723557
clora_random,21,v_proj,mbpp,0.03724607452750206
clora_random,22,q_proj,gsm8k,0.016134781762957573
clora_random,22,q_proj,sst2,0.016120878979563713
clora_random,22,q_proj,mbpp,0.013724085874855518
clora_random,22,v_proj,gsm8k,0.049163568764925
clora_random,22,v_proj,sst2,0.038316309452056885
clora_random,22,v_proj,mbpp,0.038153957575559616
clora_random,23,q_proj,gsm8k,0.03319019079208374
clora_random,23,q_proj,sst2,0.02288520149886608
clora_random,23,q_proj,mbpp,0.021287117153406143
clora_random,23,v_proj,gsm8k,0.03251365199685097
clora_random,23,v_proj,sst2,0.03397533670067787
clora_random,23,v_proj,mbpp,0.03381461650133133
clora_random,24,q_proj,gsm8k,0.02052932418882847
clora_random,24,q_proj,sst2,0.018206384032964706
clora_random,24,q_proj,mbpp,0.017640138044953346
clora_random,24,v_proj,gsm8k,0.03026777133345604
clora_random,24,v_proj,sst2,0.030138380825519562
clora_random,24,v_proj,mbpp,0.02998385950922966
clora_random,25,q_proj,gsm8k,0.021187538281083107
clora_random,25,q_proj,sst2,0.01992332935333252
clora_random,25,q_proj,mbpp,0.019295603036880493
clora_random,25,v_proj,gsm8k,0.027658669278025627
clora_random,25,v_proj,sst2,0.027356771752238274
clora_random,25,v_proj,mbpp,0.029801804572343826
clora_random,26,q_proj,gsm8k,0.07605701684951782
clora_random,26,q_proj,sst2,0.03488124907016754
clora_random,26,q_proj,mbpp,0.03227321058511734
clora_random,26,v_proj,gsm8k,0.057196542620658875
clora_random,26,v_proj,sst2,0.048357993364334106
clora_random,26,v_proj,mbpp,0.038111865520477295
clora_random,27,q_proj,gsm8k,0.033692847937345505
clora_random,27,q_proj,sst2,0.022003788501024246
clora_random,27,q_proj,mbpp,0.022290464490652084
clora_random,27,v_proj,gsm8k,0.027061834931373596
clora_random,27,v_proj,sst2,0.03082432597875595
clora_random,27,v_proj,mbpp,0.024857448413968086
clora_safety,0,q_proj,gsm8k,0.03470364958047867
clora_safety,0,q_proj,sst2,0.0195925273001194
clora_safety,0,q_proj,mbpp,0.021370774134993553
clora_safety,0,v_proj,gsm8k,0.05617324262857437
clora_safety,0,v_proj,sst2,0.031863681972026825
clora_safety,0,v_proj,mbpp,0.032033681869506836
clora_safety,1,q_proj,gsm8k,0.020980726927518845
clora_safety,1,q_proj,sst2,0.01589222066104412
clora_safety,1,q_proj,mbpp,0.015838753432035446
clora_safety,1,v_proj,gsm8k,0.03911794349551201
clora_safety,1,v_proj,sst2,0.02342863380908966
clora_safety,1,v_proj,mbpp,0.026118677109479904
clora_safety,2,q_proj,gsm8k,0.02907000482082367
clora_safety,2,q_proj,sst2,0.0270224679261446
clora_safety,2,q_proj,mbpp,0.02394523099064827
clora_safety,2,v_proj,gsm8k,0.0544063001871109
clora_safety,2,v_proj,sst2,0.030196985229849815
